City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
109,Thompson,CA,79.11,scattered clouds,55.7435,-97.8558,Burntwood Hotel
111,Andros,GR,81.16,clear sky,37.8333,24.9333,Micra Anglia Hotel - Andros
112,Kudahuvadhoo,MV,80.82,few clouds,2.6708,72.8944,Niyama Private Islands Maldives
118,Georgetown,MY,82.89,few clouds,5.4112,100.3354,Cititel Penang
121,Danville,US,81.88,few clouds,36.586,-79.395,"Holiday Inn Express Danville, an IHG Hotel"
125,Nishihara,JP,83.48,broken clouds,26.1842,127.7558,Minshuku Agaihama
127,Puerto Ayora,EC,78.76,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
128,Hithadhoo,MV,81.55,very heavy rain,-0.6,73.0833,Scoop Guest House
129,Bubaque,GW,80.1,moderate rain,11.2833,-15.8333,"Casa Dora, Bubaque"
130,Kavaratti,IN,80.78,scattered clouds,10.5669,72.642,Green leaf
131,Manta,EC,78.58,scattered clouds,-0.95,-80.7333,Balandra Hotel
135,Harper,LR,76.33,overcast clouds,4.375,-7.7169,Screensaver
139,Najran,SA,85.33,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
145,Asyut,EG,86.49,clear sky,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
148,Fenyi,CN,77.43,overcast clouds,27.8112,114.6681,Jinhao Hotel
150,Bandar-E Anzali,IR,78.69,clear sky,37.4727,49.4622,هتل بیاچ
154,Bengkulu,ID,76.01,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
155,Faanui,PF,78.24,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
156,Alofi,NU,82.29,scattered clouds,-19.0595,-169.9187,Taloa Heights
159,Eureka,US,75.67,few clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
161,Venice,US,89.58,few clouds,27.0998,-82.4543,A Beach Retreat On Casey Key
162,Cortez,US,89.04,clear sky,37.3489,-108.5859,Sand Canyon National 9 Inn
168,Bud,US,83.68,broken clouds,39.447,-86.1758,Ted McQuinn Trust
175,Las Cruces,US,81.36,clear sky,32.3123,-106.7783,SpringHill Suites by Marriott Las Cruces
181,Hamilton,US,83.75,broken clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
184,Nokha,IN,84.78,overcast clouds,27.6,73.4167,Gurukarpa Hotel
185,Wanning,CN,78.93,overcast clouds,18.8003,110.3967,Paradise Hotel
192,San Cristobal,VE,82.58,broken clouds,7.7669,-72.225,Pirineos
194,Lompoc,US,77.85,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
204,Butaritari,KI,81.99,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
206,Tual,ID,80.02,broken clouds,-5.6667,132.75,Grand Vilia Hotel
207,Abu Kamal,SY,88.47,clear sky,34.4506,40.9171,البوكمال
214,Shache,CN,76.71,overcast clouds,38.4167,77.2406,Delong Hotel
216,Altamira,BR,82.13,broken clouds,-3.2033,-52.2064,Requinte Hotel
219,Cancun,MX,87.73,broken clouds,21.1743,-86.8466,Hotel Tankah Cancun
220,Salalah,OM,76.5,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
221,Katsuura,JP,81.7,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
225,Sarangani,PH,82.06,scattered clouds,5.4033,125.4636,JVL Inn and Cafeteria
230,Madingou,CG,75.52,broken clouds,-4.1536,13.55,HOTEL KIM ELISA
231,Jibuti,DJ,84.42,overcast clouds,11.5,42.5,Orchid Main Camp Goubet
233,Feicheng,CN,79.81,overcast clouds,35.2606,117.9675,Royal Garden Hotel
239,Nador,MA,80.85,clear sky,35.174,-2.9287,Hôtel La Giralda
242,Mount Pleasant,US,88.0,haze,32.7941,-79.8626,Best Western Patriots Point
243,Dicabisagan,PH,77.63,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
244,Ixtapa,MX,87.03,broken clouds,20.7,-105.2,hotel la terminal
