City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
121,Birao,CF,2022-08-11 19:47:26,10.2849,22.7882,72.14,96,100,4.92
122,Vila Franca Do Campo,PT,2022-08-11 19:47:26,37.7167,-25.4333,75.61,82,45,8.03
123,Qaanaaq,GL,2022-08-11 19:47:26,77.484,-69.3632,39.07,71,97,7.07
124,Kapaa,US,2022-08-11 19:47:26,22.0752,-159.319,82.11,73,20,16.11
125,Sinnamary,GF,2022-08-11 19:47:27,5.3833,-52.95,83.84,69,51,8.41
126,Avarua,CK,2022-08-11 19:47:27,-21.2078,-159.775,75.25,83,20,12.66
127,Dergachi,RU,2022-08-11 19:47:28,51.2328,48.7659,73.4,69,100,9.4
128,Iberia,US,2022-08-11 19:47:28,29.9502,-91.7507,84.04,88,100,8.05
129,Itoman,JP,2022-08-11 19:47:28,26.1247,127.6694,82.42,89,20,6.91
130,Ilulissat,GL,2022-08-11 19:47:29,69.2167,-51.1,42.82,87,75,3.44
131,Tukrah,LY,2022-08-11 19:46:34,32.5341,20.5791,80.49,71,0,6.71
132,Aswan,EG,2022-08-11 19:43:55,24.0934,32.907,97.9,19,0,10.36
133,Asyut,EG,2022-08-11 19:47:29,27.181,31.1837,89.78,22,0,7.34
134,Waitati,NZ,2022-08-11 19:47:29,-45.75,170.5667,36.81,77,4,4.21
135,Jibuti,DJ,2022-08-11 19:47:30,11.5,42.5,85.48,52,84,5.21
136,Muskegon,US,2022-08-11 19:47:30,43.3,-86.1334,81.18,46,75,9.22
137,Bima,ID,2022-08-11 19:47:30,-8.4667,118.7167,74.44,96,29,4.07
138,Xichang,CN,2022-08-11 19:47:31,27.8964,102.2634,66.74,88,90,2.26
139,Saint Anthony,US,2022-08-11 19:47:31,45.0205,-93.218,85.14,43,0,9.22
140,Mildura,AU,2022-08-11 19:47:31,-34.2,142.15,52.07,53,87,11.43
141,Bambanglipuro,ID,2022-08-11 19:47:32,-7.95,110.2833,75.79,93,60,4.5
142,Margate,GB,2022-08-11 19:47:32,51.3813,1.3862,71.11,81,0,4.0
143,Mangai,CD,2022-08-11 19:47:32,-4.05,19.5333,79.03,22,82,2.42
144,Takoradi,GH,2022-08-11 19:47:33,4.8845,-1.7554,74.86,84,100,9.71
145,Fairbanks,US,2022-08-11 19:44:10,64.8378,-147.7164,63.09,59,0,0.0
146,Saint-Philippe,RE,2022-08-11 19:47:33,-21.3585,55.7679,65.21,69,41,13.31
147,Arandis,NA,2022-08-11 19:47:34,-22.4167,14.9667,59.25,40,2,2.33
148,Clyde River,CA,2022-08-11 19:47:34,70.4692,-68.5914,39.43,93,100,10.36
