City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
307,Tokmak,UA,47.2514,35.7058,81.07,36,100,17.81,light rain
308,Puqi,CN,29.7167,113.8833,81.82,65,87,5.06,overcast clouds
309,Praskoveya,RU,44.7444,44.2031,78.8,43,16,15.55,few clouds
310,Ignatovka,RU,53.9479,47.6536,60.31,80,7,5.06,clear sky
311,Tarakan,ID,3.3,117.6333,79.99,80,100,3.49,light rain
312,Cayenne,GF,4.9333,-52.3333,83.08,1,0,4.61,clear sky
313,Kosh-Agach,RU,50.0,88.6667,46.27,89,3,2.42,clear sky
314,Skibbereen,IE,51.55,-9.2667,66.11,67,0,4.81,clear sky
315,Portland,US,45.5234,-122.6762,89.47,40,20,11.5,few clouds
316,Fortuna,US,40.5982,-124.1573,74.93,69,40,12.66,scattered clouds
317,Provideniya,RU,64.3833,-173.3,48.36,100,100,8.99,overcast clouds
318,Krasnoselkup,RU,65.7,82.4667,47.82,73,98,4.45,overcast clouds
319,Juegang,CN,32.3174,121.1855,85.91,86,92,4.32,overcast clouds
320,Nyurba,RU,63.2842,118.3319,60.71,81,99,2.13,overcast clouds
321,Mayo,US,38.8876,-76.5119,89.46,52,0,8.05,clear sky
322,Laguna,US,38.421,-121.4238,97.34,28,0,8.05,clear sky
323,Adrar,MR,20.5022,-10.0711,96.85,27,1,11.83,clear sky
324,Paita,PE,-5.0892,-81.1144,65.62,79,75,16.11,broken clouds
325,Lorengau,PG,-2.0226,147.2712,80.64,81,74,6.33,broken clouds
326,Viedma,AR,-40.8135,-62.9967,55.99,40,3,10.27,clear sky
327,Puerto Colombia,CO,10.9878,-74.9547,82.49,78,94,11.5,overcast clouds
328,Broome,US,42.2506,-75.833,80.53,49,40,16.11,scattered clouds
329,Angol,CL,-37.8,-72.7167,49.8,87,100,1.16,overcast clouds
330,Joaima,BR,-16.6542,-41.0306,76.66,46,33,4.7,scattered clouds
331,Yulara,AU,-25.2406,130.9889,44.28,54,0,7.74,clear sky
332,Maniitsoq,GL,65.4167,-52.9,43.61,84,99,8.1,overcast clouds
333,Port Shepstone,ZA,-30.7414,30.455,65.7,80,39,5.48,scattered clouds
334,Harrisonville,US,38.6533,-94.3488,92.07,44,0,3.44,clear sky
335,Troitskoye,RU,52.9821,84.6757,58.06,92,100,2.28,overcast clouds
336,Chute-Aux-Outardes,CA,49.1168,-68.399,62.78,93,71,4.7,broken clouds
337,Taikang,CN,46.8333,124.4167,62.83,79,24,3.87,few clouds
338,Barguzin,RU,53.6167,109.6167,55.04,94,58,3.76,broken clouds
339,Mahenge,TZ,-8.6833,36.7167,60.49,61,57,3.09,broken clouds
340,Belmonte,BR,-15.8631,-38.8828,74.3,87,78,8.75,broken clouds
341,Yeppoon,AU,-23.1333,150.7333,58.78,88,100,7.43,overcast clouds
342,Fort Nelson,CA,58.8053,-122.7002,67.66,52,76,3.8,broken clouds
343,Goure,NE,13.9835,10.2704,79.02,63,85,14.43,overcast clouds
344,Chapais,CA,49.7834,-74.8492,51.58,96,100,8.12,overcast clouds
345,Kuusamo,FI,65.9667,29.1833,51.84,71,0,9.22,clear sky
346,Tsaratanana,MG,-16.7833,47.65,64.92,66,25,15.55,scattered clouds
347,Riyadh,SA,24.6877,46.7219,95.31,17,10,13.2,clear sky
348,Santa Marinella,IT,42.0345,11.8536,78.71,54,53,9.4,broken clouds
